n, t, len
25701, 0.009460926055908203, 1
25801, 0.0063991546630859375, 1
25901, 0.006429910659790039, 1
26001, 0.006384849548339844, 1
26101, 0.007234811782836914, 1
26201, 0.007051706314086914, 1
26301, 0.008126974105834961, 1
26401, 0.009277105331420898, 1
26501, 0.006381034851074219, 1
26601, 0.006287813186645508, 1
26701, 0.0065460205078125, 1
26801, 0.008733987808227539, 1
26901, 0.0073909759521484375, 1
27001, 0.007962226867675781, 1
27101, 0.010909795761108398, 1
27201, 0.0066640377044677734, 1
27301, 0.0075588226318359375, 1
27401, 0.007601022720336914, 1
27501, 0.007668972015380859, 1
27601, 0.008281946182250977, 1
27701, 0.009429931640625, 1
27801, 0.006598234176635742, 1
27901, 0.00626373291015625, 1
28001, 0.006490945816040039, 1
28101, 0.007834196090698242, 1
28201, 0.006566762924194336, 1
28301, 0.008484840393066406, 1
28401, 0.009029865264892578, 1
28501, 0.0063610076904296875, 1
28601, 0.006422996520996094, 1
28701, 0.006406068801879883, 1
28801, 0.008116960525512695, 1
28901, 0.00780797004699707, 1
29001, 0.0078008174896240234, 1
29101, 0.007768869400024414, 1
29201, 0.006548881530761719, 1
29301, 0.0064239501953125, 1
29401, 0.007667064666748047, 1
29501, 0.006818056106567383, 1
29601, 0.008142232894897461, 1
29701, 0.009720087051391602, 1
29801, 0.006321907043457031, 1
29901, 0.0072247982025146484, 1
30001, 0.0069580078125, 1
30101, 0.008064746856689453, 1
30201, 0.007741212844848633, 1
30301, 0.0062961578369140625, 1
30401, 0.009478092193603516, 1
30501, 0.00644993782043457, 1
30601, 0.006302833557128906, 1
30701, 0.007111072540283203, 1
30801, 0.0071887969970703125, 1
30901, 0.008170843124389648, 1
31001, 0.007544994354248047, 1
31101, 0.008539915084838867, 1
31201, 0.007861852645874023, 1
31301, 0.006575822830200195, 1
31401, 0.007915019989013672, 1
31501, 0.007970094680786133, 1
31601, 0.006505012512207031, 1
31701, 0.009747743606567383, 1
31801, 0.0066339969635009766, 1
31901, 0.0075609683990478516, 1
32001, 0.008291959762573242, 1
32101, 0.008654117584228516, 1
32201, 0.006320953369140625, 1
32301, 0.010198116302490234, 1
32401, 0.006533145904541016, 1
32501, 0.006456851959228516, 1
32601, 0.007522106170654297, 1
32701, 0.006679058074951172, 1
32801, 0.008197784423828125, 1
32901, 0.00622105598449707, 1
33001, 0.009517669677734375, 1
33101, 0.006360054016113281, 1
33201, 0.006648063659667969, 1
33301, 0.008446931838989258, 1
33401, 0.008333921432495117, 1
33501, 0.006400108337402344, 1
33601, 0.006119251251220703, 1
33701, 0.0093231201171875, 1
33801, 0.006460905075073242, 1
33901, 0.007732868194580078, 1
34001, 0.006916999816894531, 1
34101, 0.008205175399780273, 1
34201, 0.006204843521118164, 1
34301, 0.009109020233154297, 1
34401, 0.006579875946044922, 1
34501, 0.0064618587493896484, 1
34601, 0.007927179336547852, 1
34701, 0.007961034774780273, 1
34801, 0.00677800178527832, 1
34901, 0.006409883499145508, 1
35001, 0.009533882141113281, 1
35101, 0.006500959396362305, 1
35201, 0.007113218307495117, 1
35301, 0.007207155227661133, 1
35401, 0.00848078727722168, 1
35501, 0.006159067153930664, 1
35601, 0.00615692138671875, 1
35701, 0.0095062255859375, 1
35801, 0.0064792633056640625, 1
35901, 0.008310079574584961, 1
36001, 0.006635189056396484, 1
36101, 0.011362791061401367, 1
36201, 0.006394863128662109, 1
36301, 0.006430149078369141, 1
36401, 0.006344318389892578, 1
36501, 0.006642818450927734, 1
36601, 0.00763702392578125, 1
36701, 0.008397817611694336, 1
36801, 0.009356021881103516, 1
36901, 0.006493091583251953, 1
37001, 0.006439924240112305, 1
37101, 0.006525754928588867, 1
37201, 0.007380962371826172, 1
37301, 0.006525993347167969, 1
37401, 0.008024930953979492, 1
37501, 0.009521245956420898, 1
37601, 0.006457090377807617, 1
37701, 0.006729841232299805, 1
37801, 0.006410121917724609, 1
37901, 0.007849931716918945, 1
38001, 0.006303071975708008, 1
38101, 0.009888887405395508, 1
38201, 0.007412910461425781, 1
38301, 0.006644010543823242, 1
38401, 0.006400108337402344, 1
38501, 0.007341861724853516, 1
38601, 0.0073359012603759766, 1
38701, 0.007731914520263672, 1
38801, 0.009547948837280273, 1
38901, 0.00655817985534668, 1
39001, 0.0063440799713134766, 1
39101, 0.00644993782043457, 1
39201, 0.007918119430541992, 1
39301, 0.006512880325317383, 1
39401, 0.007629871368408203, 1
39501, 0.009598970413208008, 1
39601, 0.006610870361328125, 1
39701, 0.006591081619262695, 1
39801, 0.006517887115478516, 1
39901, 0.008080005645751953, 1
40001, 0.008335113525390625, 1
40101, 0.006181001663208008, 1
40201, 0.009484052658081055, 1
40301, 0.006412982940673828, 1
40401, 0.006626129150390625, 1
40501, 0.008227109909057617, 1
40601, 0.006610870361328125, 1
